Id,Code,Name,ProvinceId
1,1,Quận Ba Đình,2
2,2,Quận Hoàn Kiếm,2
3,3,Quận Tây Hồ,2
4,4,Quận Long Biên,2
5,5,Quận Cầu Giấy,2
6,6,Quận Đống Đa,2
7,7,Quận Hai Bà Trưng,2
8,8,Quận Hoàng Mai,2
9,9,Quận Thanh Xuân,2
10,16,Huyện Sóc Sơn,2
11,17,Huyện Đông Anh,2
12,18,Huyện Gia Lâm,2
13,19,Quận Nam Từ Liêm,2
14,20,Huyện Thanh Trì,2
15,21,Quận Bắc Từ Liêm,2
16,250,Huyện Mê Linh,2
17,268,Quận Hà Đông,2
18,269,Thị xã Sơn Tây,2
19,271,Huyện Ba Vì,2
20,272,Huyện Phúc Thọ,2
21,273,Huyện Đan Phượng,2
22,274,Huyện Hoài Đức,2
23,275,Huyện Quốc Oai,2
24,276,Huyện Thạch Thất,2
25,277,Huyện Chương Mỹ,2
26,278,Huyện Thanh Oai,2
27,279,Huyện Thường Tín,2
28,280,Huyện Phú Xuyên,2
29,281,Huyện Ứng Hòa,2
30,282,Huyện Mỹ Đức,2
31,24,Thành phố Hà Giang,3
32,26,Huyện Đồng Văn,3
33,27,Huyện Mèo Vạc,3
34,28,Huyện Yên Minh,3
35,29,Huyện Quản Bạ,3
36,30,Huyện Vị Xuyên,3
37,31,Huyện Bắc Mê,3
38,32,Huyện Hoàng Su Phì,3
39,33,Huyện Xín Mần,3
40,34,Huyện Bắc Quang,3
41,35,Huyện Quang Bình,3
42,40,Thành phố Cao Bằng,4
43,42,Huyện Bảo Lâm,4
44,43,Huyện Bảo Lạc,4
45,45,Huyện Hà Quảng,4
46,47,Huyện Trùng Khánh,4
47,48,Huyện Hạ Lang,4
48,49,Huyện Quảng Hòa,4
49,51,Huyện Hoà An,4
50,52,Huyện Nguyên Bình,4
51,53,Huyện Thạch An,4
52,58,Thành Phố Bắc Kạn,5
53,60,Huyện Pác Nặm,5
54,61,Huyện Ba Bể,5
55,62,Huyện Ngân Sơn,5
56,63,Huyện Bạch Thông,5
57,64,Huyện Chợ Đồn,5
58,65,Huyện Chợ Mới,5
59,66,Huyện Na Rì,5
60,70,Thành phố Tuyên Quang,6
61,71,Huyện Lâm Bình,6
62,72,Huyện Na Hang,6
63,73,Huyện Chiêm Hóa,6
64,74,Huyện Hàm Yên,6
65,75,Huyện Yên Sơn,6
66,76,Huyện Sơn Dương,6
67,80,Thành phố Lào Cai,7
68,82,Huyện Bát Xát,7
69,83,Huyện Mường Khương,7
70,84,Huyện Si Ma Cai,7
71,85,Huyện Bắc Hà,7
72,86,Huyện Bảo Thắng,7
73,87,Huyện Bảo Yên,7
74,88,Thị xã Sa Pa,7
75,89,Huyện Văn Bàn,7
76,94,Thành phố Điện Biên Phủ,8
77,95,Thị Xã Mường Lay,8
78,96,Huyện Mường Nhé,8
79,97,Huyện Mường Chà,8
80,98,Huyện Tủa Chùa,8
81,99,Huyện Tuần Giáo,8
82,100,Huyện Điện Biên,8
83,101,Huyện Điện Biên Đông,8
84,102,Huyện Mường Ảng,8
85,103,Huyện Nậm Pồ,8
86,105,Thành phố Lai Châu,9
87,106,Huyện Tam Đường,9
88,107,Huyện Mường Tè,9
89,108,Huyện Sìn Hồ,9
90,109,Huyện Phong Thổ,9
91,110,Huyện Than Uyên,9
92,111,Huyện Tân Uyên,9
93,112,Huyện Nậm Nhùn,9
94,116,Thành phố Sơn La,10
95,118,Huyện Quỳnh Nhai,10
96,119,Huyện Thuận Châu,10
97,120,Huyện Mường La,10
98,121,Huyện Bắc Yên,10
99,122,Huyện Phù Yên,10
100,123,Huyện Mộc Châu,10
101,124,Huyện Yên Châu,10
102,125,Huyện Mai Sơn,10
103,126,Huyện Sông Mã,10
104,127,Huyện Sốp Cộp,10
105,128,Huyện Vân Hồ,10
106,132,Thành phố Yên Bái,11
107,133,Thị xã Nghĩa Lộ,11
108,135,Huyện Lục Yên,11
109,136,Huyện Văn Yên,11
110,137,Huyện Mù Căng Chải,11
111,138,Huyện Trấn Yên,11
112,139,Huyện Trạm Tấu,11
113,140,Huyện Văn Chấn,11
114,141,Huyện Yên Bình,11
115,148,Thành phố Hòa Bình,12
116,150,Huyện Đà Bắc,12
117,152,Huyện Lương Sơn,12
118,153,Huyện Kim Bôi,12
119,154,Huyện Cao Phong,12
120,155,Huyện Tân Lạc,12
121,156,Huyện Mai Châu,12
122,157,Huyện Lạc Sơn,12
123,158,Huyện Yên Thủy,12
124,159,Huyện Lạc Thủy,12
125,164,Thành phố Thái Nguyên,13
126,165,Thành phố Sông Công,13
127,167,Huyện Định Hóa,13
128,168,Huyện Phú Lương,13
129,169,Huyện Đồng Hỷ,13
130,170,Huyện Võ Nhai,13
131,171,Huyện Đại Từ,13
132,172,Thành phố Phổ Yên,13
133,173,Huyện Phú Bình,13
134,178,Thành phố Lạng Sơn,14
135,180,Huyện Tràng Định,14
136,181,Huyện Bình Gia,14
137,182,Huyện Văn Lãng,14
138,183,Huyện Cao Lộc,14
139,184,Huyện Văn Quan,14
140,185,Huyện Bắc Sơn,14
141,186,Huyện Hữu Lũng,14
142,187,Huyện Chi Lăng,14
143,188,Huyện Lộc Bình,14
144,189,Huyện Đình Lập,14
145,193,Thành phố Hạ Long,15
146,194,Thành phố Móng Cái,15
147,195,Thành phố Cẩm Phả,15
148,196,Thành phố Uông Bí,15
149,198,Huyện Bình Liêu,15
150,199,Huyện Tiên Yên,15
151,200,Huyện Đầm Hà,15
152,201,Huyện Hải Hà,15
153,202,Huyện Ba Chẽ,15
154,203,Huyện Vân Đồn,15
155,205,Thị xã Đông Triều,15
156,206,Thị xã Quảng Yên,15
157,207,Huyện Cô Tô,15
158,213,Thành phố Bắc Giang,16
159,215,Huyện Yên Thế,16
160,216,Huyện Tân Yên,16
161,217,Huyện Lạng Giang,16
162,218,Huyện Lục Nam,16
163,219,Huyện Lục Ngạn,16
164,220,Huyện Sơn Động,16
165,221,Huyện Yên Dũng,16
166,222,Huyện Việt Yên,16
167,223,Huyện Hiệp Hòa,16
168,227,Thành phố Việt Trì,17
169,228,Thị xã Phú Thọ,17
170,230,Huyện Đoan Hùng,17
171,231,Huyện Hạ Hoà,17
172,232,Huyện Thanh Ba,17
173,233,Huyện Phù Ninh,17
174,234,Huyện Yên Lập,17
175,235,Huyện Cẩm Khê,17
176,236,Huyện Tam Nông,17
177,237,Huyện Lâm Thao,17
178,238,Huyện Thanh Sơn,17
179,239,Huyện Thanh Thuỷ,17
180,240,Huyện Tân Sơn,17
181,243,Thành phố Vĩnh Yên,18
182,244,Thành phố Phúc Yên,18
183,246,Huyện Lập Thạch,18
184,247,Huyện Tam Dương,18
185,248,Huyện Tam Đảo,18
186,249,Huyện Bình Xuyên,18
187,251,Huyện Yên Lạc,18
188,252,Huyện Vĩnh Tường,18
189,253,Huyện Sông Lô,18
190,256,Thành phố Bắc Ninh,19
191,258,Huyện Yên Phong,19
192,259,Huyện Quế Võ,19
193,260,Huyện Tiên Du,19
194,261,Thành phố Từ Sơn,19
195,262,Huyện Thuận Thành,19
196,263,Huyện Gia Bình,19
197,264,Huyện Lương Tài,19
198,288,Thành phố Hải Dương,20
199,290,Thành phố Chí Linh,20
200,291,Huyện Nam Sách,20
201,292,Thị xã Kinh Môn,20
202,293,Huyện Kim Thành,20
203,294,Huyện Thanh Hà,20
204,295,Huyện Cẩm Giàng,20
205,296,Huyện Bình Giang,20
206,297,Huyện Gia Lộc,20
207,298,Huyện Tứ Kỳ,20
208,299,Huyện Ninh Giang,20
209,300,Huyện Thanh Miện,20
210,303,Quận Hồng Bàng,21
211,304,Quận Ngô Quyền,21
212,305,Quận Lê Chân,21
213,306,Quận Hải An,21
214,307,Quận Kiến An,21
215,308,Quận Đồ Sơn,21
216,309,Quận Dương Kinh,21
217,311,Huyện Thuỷ Nguyên,21
218,312,Huyện An Dương,21
219,313,Huyện An Lão,21
220,314,Huyện Kiến Thuỵ,21
221,315,Huyện Tiên Lãng,21
222,316,Huyện Vĩnh Bảo,21
223,317,Huyện Cát Hải,21
224,318,Huyện Bạch Long Vĩ,21
225,323,Thành phố Hưng Yên,22
226,325,Huyện Văn Lâm,22
227,326,Huyện Văn Giang,22
228,327,Huyện Yên Mỹ,22
229,328,Thị xã Mỹ Hào,22
230,329,Huyện Ân Thi,22
231,330,Huyện Khoái Châu,22
232,331,Huyện Kim Động,22
233,332,Huyện Tiên Lữ,22
234,333,Huyện Phù Cừ,22
235,336,Thành phố Thái Bình,23
236,338,Huyện Quỳnh Phụ,23
237,339,Huyện Hưng Hà,23
238,340,Huyện Đông Hưng,23
239,341,Huyện Thái Thụy,23
240,342,Huyện Tiền Hải,23
241,343,Huyện Kiến Xương,23
242,344,Huyện Vũ Thư,23
243,347,Thành phố Phủ Lý,24
244,349,Thị xã Duy Tiên,24
245,350,Huyện Kim Bảng,24
246,351,Huyện Thanh Liêm,24
247,352,Huyện Bình Lục,24
248,353,Huyện Lý Nhân,24
249,356,Thành phố Nam Định,25
250,358,Huyện Mỹ Lộc,25
251,359,Huyện Vụ Bản,25
252,360,Huyện Ý Yên,25
253,361,Huyện Nghĩa Hưng,25
254,362,Huyện Nam Trực,25
255,363,Huyện Trực Ninh,25
256,364,Huyện Xuân Trường,25
257,365,Huyện Giao Thủy,25
258,366,Huyện Hải Hậu,25
259,369,Thành phố Ninh Bình,26
260,370,Thành phố Tam Điệp,26
261,372,Huyện Nho Quan,26
262,373,Huyện Gia Viễn,26
263,374,Huyện Hoa Lư,26
264,375,Huyện Yên Khánh,26
265,376,Huyện Kim Sơn,26
266,377,Huyện Yên Mô,26
267,380,Thành phố Thanh Hóa,27
268,381,Thị xã Bỉm Sơn,27
269,382,Thành phố Sầm Sơn,27
270,384,Huyện Mường Lát,27
271,385,Huyện Quan Hóa,27
272,386,Huyện Bá Thước,27
273,387,Huyện Quan Sơn,27
274,388,Huyện Lang Chánh,27
275,389,Huyện Ngọc Lặc,27
276,390,Huyện Cẩm Thủy,27
277,391,Huyện Thạch Thành,27
278,392,Huyện Hà Trung,27
279,393,Huyện Vĩnh Lộc,27
280,394,Huyện Yên Định,27
281,395,Huyện Thọ Xuân,27
282,396,Huyện Thường Xuân,27
283,397,Huyện Triệu Sơn,27
284,398,Huyện Thiệu Hóa,27
285,399,Huyện Hoằng Hóa,27
286,400,Huyện Hậu Lộc,27
287,401,Huyện Nga Sơn,27
288,402,Huyện Như Xuân,27
289,403,Huyện Như Thanh,27
290,404,Huyện Nông Cống,27
291,405,Huyện Đông Sơn,27
292,406,Huyện Quảng Xương,27
293,407,Thị xã Nghi Sơn,27
294,412,Thành phố Vinh,28
295,413,Thị xã Cửa Lò,28
296,414,Thị xã Thái Hoà,28
297,415,Huyện Quế Phong,28
298,416,Huyện Quỳ Châu,28
299,417,Huyện Kỳ Sơn,28
300,418,Huyện Tương Dương,28
301,419,Huyện Nghĩa Đàn,28
302,420,Huyện Quỳ Hợp,28
303,421,Huyện Quỳnh Lưu,28
304,422,Huyện Con Cuông,28
305,423,Huyện Tân Kỳ,28
306,424,Huyện Anh Sơn,28
307,425,Huyện Diễn Châu,28
308,426,Huyện Yên Thành,28
309,427,Huyện Đô Lương,28
310,428,Huyện Thanh Chương,28
311,429,Huyện Nghi Lộc,28
312,430,Huyện Nam Đàn,28
313,431,Huyện Hưng Nguyên,28
314,432,Thị xã Hoàng Mai,28
315,436,Thành phố Hà Tĩnh,29
316,437,Thị xã Hồng Lĩnh,29
317,439,Huyện Hương Sơn,29
318,440,Huyện Đức Thọ,29
319,441,Huyện Vũ Quang,29
320,442,Huyện Nghi Xuân,29
321,443,Huyện Can Lộc,29
322,444,Huyện Hương Khê,29
323,445,Huyện Thạch Hà,29
324,446,Huyện Cẩm Xuyên,29
325,447,Huyện Kỳ Anh,29
326,448,Huyện Lộc Hà,29
327,449,Thị xã Kỳ Anh,29
328,450,Thành Phố Đồng Hới,30
329,452,Huyện Minh Hóa,30
330,453,Huyện Tuyên Hóa,30
331,454,Huyện Quảng Trạch,30
332,455,Huyện Bố Trạch,30
333,456,Huyện Quảng Ninh,30
334,457,Huyện Lệ Thủy,30
335,458,Thị xã Ba Đồn,30
336,461,Thành phố Đông Hà,31
337,462,Thị xã Quảng Trị,31
338,464,Huyện Vĩnh Linh,31
339,465,Huyện Hướng Hóa,31
340,466,Huyện Gio Linh,31
341,467,Huyện Đa Krông,31
342,468,Huyện Cam Lộ,31
343,469,Huyện Triệu Phong,31
344,470,Huyện Hải Lăng,31
345,471,Huyện Cồn Cỏ,31
346,474,Thành phố Huế,32
347,476,Huyện Phong Điền,32
348,477,Huyện Quảng Điền,32
349,478,Huyện Phú Vang,32
350,479,Thị xã Hương Thủy,32
351,480,Thị xã Hương Trà,32
352,481,Huyện A Lưới,32
353,482,Huyện Phú Lộc,32
354,483,Huyện Nam Đông,32
355,490,Quận Liên Chiểu,33
356,491,Quận Thanh Khê,33
357,492,Quận Hải Châu,33
358,493,Quận Sơn Trà,33
359,494,Quận Ngũ Hành Sơn,33
360,495,Quận Cẩm Lệ,33
361,497,Huyện Hòa Vang,33
362,498,Huyện Hoàng Sa,33
363,502,Thành phố Tam Kỳ,34
364,503,Thành phố Hội An,34
365,504,Huyện Tây Giang,34
366,505,Huyện Đông Giang,34
367,506,Huyện Đại Lộc,34
368,507,Thị xã Điện Bàn,34
369,508,Huyện Duy Xuyên,34
370,509,Huyện Quế Sơn,34
371,510,Huyện Nam Giang,34
372,511,Huyện Phước Sơn,34
373,512,Huyện Hiệp Đức,34
374,513,Huyện Thăng Bình,34
375,514,Huyện Tiên Phước,34
376,515,Huyện Bắc Trà My,34
377,516,Huyện Nam Trà My,34
378,517,Huyện Núi Thành,34
379,518,Huyện Phú Ninh,34
380,519,Huyện Nông Sơn,34
381,522,Thành phố Quảng Ngãi,35
382,524,Huyện Bình Sơn,35
383,525,Huyện Trà Bồng,35
384,527,Huyện Sơn Tịnh,35
385,528,Huyện Tư Nghĩa,35
386,529,Huyện Sơn Hà,35
387,530,Huyện Sơn Tây,35
388,531,Huyện Minh Long,35
389,532,Huyện Nghĩa Hành,35
390,533,Huyện Mộ Đức,35
391,534,Thị xã Đức Phổ,35
392,535,Huyện Ba Tơ,35
