Id,Code,Name,Status,IsDeleted,CreatedAt,UpdatedAt
1,1,Thành phố Hà Nội,1,False,2023-11-12 11:25:27.503021,
2,2,Tỉnh Hà Giang,1,False,2023-11-12 11:25:27.503021,
3,4,Tỉnh Cao Bằng,1,False,2023-11-12 11:25:27.503021,
4,6,Tỉnh Bắc Kạn,1,False,2023-11-12 11:25:27.503021,
5,8,Tỉnh Tuyên Quang,1,False,2023-11-12 11:25:27.503021,
6,10,Tỉnh Lào Cai,1,False,2023-11-12 11:25:27.503021,
7,11,Tỉnh Điện Biên,1,False,2023-11-12 11:25:27.503021,
8,12,Tỉnh Lai Châu,1,False,2023-11-12 11:25:27.503021,
9,14,Tỉnh Sơn La,1,False,2023-11-12 11:25:27.503021,
10,15,Tỉnh Yên Bái,1,False,2023-11-12 11:25:27.503021,
11,17,Tỉnh Hoà Bình,1,False,2023-11-12 11:25:27.503021,
12,19,Tỉnh Thái Nguyên,1,False,2023-11-12 11:25:27.503021,
13,20,Tỉnh Lạng Sơn,1,False,2023-11-12 11:25:27.503021,
14,22,Tỉnh Quảng Ninh,1,False,2023-11-12 11:25:27.503021,
15,24,Tỉnh Bắc Giang,1,False,2023-11-12 11:25:27.503021,
16,25,Tỉnh Phú Thọ,1,False,2023-11-12 11:25:27.503021,
17,26,Tỉnh Vĩnh Phúc,1,False,2023-11-12 11:25:27.503021,
18,27,Tỉnh Bắc Ninh,1,False,2023-11-12 11:25:27.503021,
19,30,Tỉnh Hải Dương,1,False,2023-11-12 11:25:27.503021,
20,31,Thành phố Hải Phòng,1,False,2023-11-12 11:25:27.503021,
21,33,Tỉnh Hưng Yên,1,False,2023-11-12 11:25:27.503021,
22,34,Tỉnh Thái Bình,1,False,2023-11-12 11:25:27.503021,
23,35,Tỉnh Hà Nam,1,False,2023-11-12 11:25:27.503021,
24,36,Tỉnh Nam Định,1,False,2023-11-12 11:25:27.503021,
25,37,Tỉnh Ninh Bình,1,False,2023-11-12 11:25:27.503021,
26,38,Tỉnh Thanh Hóa,1,False,2023-11-12 11:25:27.503021,
27,40,Tỉnh Nghệ An,1,False,2023-11-12 11:25:27.503021,
28,42,Tỉnh Hà Tĩnh,1,False,2023-11-12 11:25:27.503021,
29,44,Tỉnh Quảng Bình,1,False,2023-11-12 11:25:27.503021,
30,45,Tỉnh Quảng Trị,1,False,2023-11-12 11:25:27.503021,
31,46,Tỉnh Thừa Thiên Huế,1,False,2023-11-12 11:25:27.503021,
32,48,Thành phố Đà Nẵng,1,False,2023-11-12 11:25:27.503021,
33,49,Tỉnh Quảng Nam,1,False,2023-11-12 11:25:27.503021,
34,51,Tỉnh Quảng Ngãi,1,False,2023-11-12 11:25:27.503021,
35,52,Tỉnh Bình Định,1,False,2023-11-12 11:25:27.503021,
36,54,Tỉnh Phú Yên,1,False,2023-11-12 11:25:27.503021,
37,56,Tỉnh Khánh Hòa,1,False,2023-11-12 11:25:27.503021,
38,58,Tỉnh Ninh Thuận,1,False,2023-11-12 11:25:27.503021,
39,60,Tỉnh Bình Thuận,1,False,2023-11-12 11:25:27.503021,
40,62,Tỉnh Kon Tum,1,False,2023-11-12 11:25:27.503021,
41,64,Tỉnh Gia Lai,1,False,2023-11-12 11:25:27.503021,
42,66,Tỉnh Đắk Lắk,1,False,2023-11-12 11:25:27.503021,
43,67,Tỉnh Đắk Nông,1,False,2023-11-12 11:25:27.503021,
44,68,Tỉnh Lâm Đồng,1,False,2023-11-12 11:25:27.503021,
45,70,Tỉnh Bình Phước,1,False,2023-11-12 11:25:27.503021,
46,72,Tỉnh Tây Ninh,1,False,2023-11-12 11:25:27.503021,
47,74,Tỉnh Bình Dương,1,False,2023-11-12 11:25:27.503021,
48,75,Tỉnh Đồng Nai,1,False,2023-11-12 11:25:27.503021,
49,77,Tỉnh Bà Rịa - Vũng Tàu,1,False,2023-11-12 11:25:27.503021,
50,79,Thành phố Hồ Chí Minh,1,False,2023-11-12 11:25:27.503021,
51,80,Tỉnh Long An,1,False,2023-11-12 11:25:27.503021,
52,82,Tỉnh Tiền Giang,1,False,2023-11-12 11:25:27.503021,
53,83,Tỉnh Bến Tre,1,False,2023-11-12 11:25:27.503021,
54,84,Tỉnh Trà Vinh,1,False,2023-11-12 11:25:27.503021,
55,86,Tỉnh Vĩnh Long,1,False,2023-11-12 11:25:27.503021,
56,87,Tỉnh Đồng Tháp,1,False,2023-11-12 11:25:27.503021,
57,89,Tỉnh An Giang,1,False,2023-11-12 11:25:27.503021,
58,91,Tỉnh Kiên Giang,1,False,2023-11-12 11:25:27.503021,
59,92,Thành phố Cần Thơ,1,False,2023-11-12 11:25:27.503021,
60,93,Tỉnh Hậu Giang,1,False,2023-11-12 11:25:27.503021,
61,94,Tỉnh Sóc Trăng,1,False,2023-11-12 11:25:27.503021,
62,95,Tỉnh Bạc Liêu,1,False,2023-11-12 11:25:27.503021,
63,96,Tỉnh Cà Mau,1,False,2023-11-12 11:25:27.503021,
